C1 ACET CT3 -0.37 -0.27
C2 ACET CC 0.62 0.52
H1 ACET HA 0.09 0.09
H2 ACET HA 0.09 0.09
H3 ACET HA 0.09 0.09
O1 ACET OC -0.76 -0.76
O2 ACET OC -0.76 -0.76
C2 PROA CT2 -0.28 -0.28
C1 PROA CC 0.62 0.62
H21 PROA HA 0.09 0.09
H22 PROA HA 0.09 0.09
O1 PROA OC -0.76 -0.76
O2 PROA OC -0.76 -0.76
C3 PROA CT3 -0.27 -0.27
H31 PROA HA 0.09 0.09
H32 PROA HA 0.09 0.09
H33 PROA HA 0.09 0.09
C GUAN C 0.64 -0.36
N1 GUAN NC2 -0.80 -0.76
H11 GUAN HC 0.46 0.44
H12 GUAN HC 0.46 0.44
N2 GUAN NC2 -0.80 -0.76
H21 GUAN HC 0.46 0.44
H22 GUAN HC 0.46 0.44
N3 GUAN NC2 -0.80 -0.76
H31 GUAN HC 0.46 0.44
H32 GUAN HC 0.46 0.44
C MGUA C 0.64 0.64
N1 MGUA NC2 -0.80 -0.79999
H11 MGUA HC 0.46 0.46
H12 MGUA HC 0.46 0.46
N2 MGUA NC2 -0.80 -0.79999
H21 MGUA HC 0.46 0.46
H22 MGUA HC 0.46 0.46
N3 MGUA NC2 -0.70 -0.48
H31 MGUA HC 0.44 0.44
C2 MGUA CT3 0.11 -0.11
HC1 MGUA HA 0.09 0.09
HC2 MGUA HA 0.09 0.09
HC3 MGUA HA 0.09 0.09
N GLYN NH2 -0.96 -0.96
HT1 GLYN HC 0.34 0.34
HT2 GLYN HC 0.34 0.34
CA GLYN CT2 0.18 0.07
HA1 GLYN HB 0.05 0.09
HA2 GLYN HB 0.05 0.09
C GLYN CD 0.75 0.75
OT1 GLYN OB -0.55 -0.55
OT2 GLYN OH1 -0.63 -0.61
HO2 GLYN H 0.43 0.44
HE1 MAMM HA 0.05 0.09
HE2 MAMM HA 0.05 0.09
HE3 MAMM HA 0.05 0.09
HZ1 MAMM HC 0.33 0.33
HZ2 MAMM HC 0.33 0.33
HZ3 MAMM HC 0.33 0.33
CE EAMM CT2 0.21 0.21
NZ EAMM NH3 -0.30 -0.3
HE1 EAMM HA 0.05 0.05
HE2 EAMM HA 0.05 0.05
HZ1 EAMM HC 0.33 0.33
HZ2 EAMM HC 0.33 0.33
HZ3 EAMM HC 0.33 0.33
C1 EAMM CT3 -0.27 -0.27
H11 EAMM HA 0.09 0.09
H12 EAMM HA 0.09 0.09
H13 EAMM HA 0.09 0.09
C2 ACEH CT3 -0.30 -0.27
C1 ACEH CD 0.75 0.72
H21 ACEH HA 0.09 0.09
H22 ACEH HA 0.09 0.09
H23 ACEH HA 0.09 0.09
O2 ACEH OB -0.55 -0.55
O1 ACEH OH1 -0.60 -0.61
HO1 ACEH H 0.43 0.44
CB MEOH CT3 -0.04 -0.14
OG MEOH OH1 -0.65 -0.56
HG1 MEOH H 0.42 0.43
HB1 MEOH HA 0.09 0.09
HB2 MEOH HA 0.09 0.09
HB3 MEOH HA 0.09 0.09
HB1 METO HA 0.11 0.09
HB2 METO HA 0.11 0.09
HB3 METO HA 0.11 0.09
C1 ETOH CT2 0.05 0.05
